Vuosi,Kk,Pv,Klo,Aikavyöhyke,Ilman lämpötila (degC)
2017,4,1,00:00,UTC,1.9
2017,4,2,00:00,UTC,4
2017,4,3,00:00,UTC,3
2017,4,4,00:00,UTC,3.8
2017,4,5,00:00,UTC,3.3
2017,4,6,00:00,UTC,4.8
2017,4,7,00:00,UTC,4.1
2017,4,8,00:00,UTC,3.1
2017,4,9,00:00,UTC,3.8
2017,4,10,00:00,UTC,5.7
2017,4,11,00:00,UTC,4.7
2017,4,12,00:00,UTC,1.6
2017,4,13,00:00,UTC,1.3
2017,4,14,00:00,UTC,-0.3
2017,4,15,00:00,UTC,-0.9
2017,4,16,00:00,UTC,-1.5
2017,4,17,00:00,UTC,1
2017,4,18,00:00,UTC,0.6
2017,4,19,00:00,UTC,1.1
2017,4,20,00:00,UTC,2.6
2017,4,21,00:00,UTC,5.8
2017,4,22,00:00,UTC,3.2
2017,4,23,00:00,UTC,3.3
2017,4,24,00:00,UTC,3.6
2017,4,25,00:00,UTC,2.9
2017,4,26,00:00,UTC,3.5
2017,4,27,00:00,UTC,4.7
2017,4,28,00:00,UTC,3.4
2017,4,29,00:00,UTC,2.6
2017,4,30,00:00,UTC,2.8
2017,5,1,00:00,UTC,6.8
2017,5,2,00:00,UTC,8.5
2017,5,3,00:00,UTC,9
2017,5,4,00:00,UTC,6.8
2017,5,5,00:00,UTC,9.4
2017,5,6,00:00,UTC,11.2
2017,5,7,00:00,UTC,5.9
2017,5,8,00:00,UTC,4.3
2017,5,9,00:00,UTC,2.1
2017,5,10,00:00,UTC,1.7
2017,5,11,00:00,UTC,3.1
2017,5,12,00:00,UTC,4.9
2017,5,13,00:00,UTC,7.1
2017,5,14,00:00,UTC,9.4
2017,5,15,00:00,UTC,9.1
2017,5,16,00:00,UTC,6.7
2017,5,17,00:00,UTC,9.2
2017,5,18,00:00,UTC,10.4
2017,5,19,00:00,UTC,15.2
2017,5,20,00:00,UTC,15.8
2017,5,21,00:00,UTC,14.2
2017,5,22,00:00,UTC,14.1
2017,5,23,00:00,UTC,12.9
2017,5,24,00:00,UTC,11.9
2017,5,25,00:00,UTC,13.6
2017,5,26,00:00,UTC,13.8
2017,5,27,00:00,UTC,9.2
2017,5,28,00:00,UTC,12.5
2017,5,29,00:00,UTC,14.5
2017,5,30,00:00,UTC,9.8
2017,5,31,00:00,UTC,10.9
2017,6,1,00:00,UTC,6.9
2017,6,2,00:00,UTC,6.7
2017,6,3,00:00,UTC,10.6
2017,6,4,00:00,UTC,9.6
2017,6,5,00:00,UTC,10.3
2017,6,6,00:00,UTC,13.9
2017,6,7,00:00,UTC,15.7
2017,6,8,00:00,UTC,12.1
2017,6,9,00:00,UTC,13.3
2017,6,10,00:00,UTC,16.2
2017,6,11,00:00,UTC,16.4
2017,6,12,00:00,UTC,12.5
2017,6,13,00:00,UTC,12.8
2017,6,14,00:00,UTC,14.8
2017,6,15,00:00,UTC,14.6
2017,6,16,00:00,UTC,17.8
2017,6,17,00:00,UTC,19.6
2017,6,18,00:00,UTC,16.8
2017,6,19,00:00,UTC,18.2
2017,6,20,00:00,UTC,13.1
2017,6,21,00:00,UTC,12.9
2017,6,22,00:00,UTC,12.6
2017,6,23,00:00,UTC,11.1
2017,6,24,00:00,UTC,12.4
2017,6,25,00:00,UTC,13.6
2017,6,26,00:00,UTC,13.3
2017,6,27,00:00,UTC,14.3
2017,6,28,00:00,UTC,15.1
2017,6,29,00:00,UTC,16.2
2017,6,30,00:00,UTC,17.2
2017,7,1,00:00,UTC,14
2017,7,2,00:00,UTC,16.2
2017,7,3,00:00,UTC,14.3
2017,7,4,00:00,UTC,14.1
2017,7,5,00:00,UTC,14.3
2017,7,6,00:00,UTC,12.1
2017,7,7,00:00,UTC,14.9
2017,7,8,00:00,UTC,16.1
2017,7,9,00:00,UTC,16.9
2017,7,10,00:00,UTC,17.3
2017,7,11,00:00,UTC,16.5
2017,7,12,00:00,UTC,16.7
2017,7,13,00:00,UTC,14.8
2017,7,14,00:00,UTC,15.1
2017,7,15,00:00,UTC,16.5
2017,7,16,00:00,UTC,17.8
2017,7,17,00:00,UTC,15.4
2017,7,18,00:00,UTC,15.2
2017,7,19,00:00,UTC,14.2
2017,7,20,00:00,UTC,15
2017,7,21,00:00,UTC,15.9
2017,7,22,00:00,UTC,15.5
2017,7,23,00:00,UTC,17
2017,7,24,00:00,UTC,15.9
2017,7,25,00:00,UTC,16.2
2017,7,26,00:00,UTC,17.2
2017,7,27,00:00,UTC,18.9
2017,7,28,00:00,UTC,18.9
2017,7,29,00:00,UTC,17.7
2017,7,30,00:00,UTC,18
2017,7,31,00:00,UTC,18.1
2017,8,1,00:00,UTC,18.9
2017,8,2,00:00,UTC,17.5
2017,8,3,00:00,UTC,18.1
2017,8,4,00:00,UTC,16.7
2017,8,5,00:00,UTC,16.9
2017,8,6,00:00,UTC,16
2017,8,7,00:00,UTC,15.4
2017,8,8,00:00,UTC,17.1
2017,8,9,00:00,UTC,18
2017,8,10,00:00,UTC,18.3
2017,8,11,00:00,UTC,17.7
2017,8,12,00:00,UTC,19.3
2017,8,13,00:00,UTC,17.7
2017,8,14,00:00,UTC,16.5
2017,8,15,00:00,UTC,16.2
2017,8,16,00:00,UTC,17.6
2017,8,17,00:00,UTC,18.7
2017,8,18,00:00,UTC,18
2017,8,19,00:00,UTC,18.2
2017,8,20,00:00,UTC,17.5
2017,8,21,00:00,UTC,16.3
2017,8,22,00:00,UTC,15
2017,8,23,00:00,UTC,13.8
2017,8,24,00:00,UTC,13.5
2017,8,25,00:00,UTC,11.6
2017,8,26,00:00,UTC,11.2
2017,8,27,00:00,UTC,11.2
2017,8,28,00:00,UTC,12.3
2017,8,29,00:00,UTC,14.4
2017,8,30,00:00,UTC,17
2017,8,31,00:00,UTC,17
2017,9,1,00:00,UTC,15.4
2017,9,2,00:00,UTC,13.2
2017,9,3,00:00,UTC,13.1
2017,9,4,00:00,UTC,12.2
2017,9,5,00:00,UTC,11.8
2017,9,6,00:00,UTC,10.8
2017,9,7,00:00,UTC,10.5
2017,9,8,00:00,UTC,10.8
2017,9,9,00:00,UTC,13.5
2017,9,10,00:00,UTC,14.7
2017,9,11,00:00,UTC,14.5
2017,9,12,00:00,UTC,15.1
2017,9,13,00:00,UTC,14.4
2017,9,14,00:00,UTC,13
2017,9,15,00:00,UTC,12.7
2017,9,16,00:00,UTC,12.8
2017,9,17,00:00,UTC,9.8
2017,9,18,00:00,UTC,9.1
2017,9,19,00:00,UTC,9.1
2017,9,20,00:00,UTC,9.5
2017,9,21,00:00,UTC,12.6
2017,9,22,00:00,UTC,11.8
2017,9,23,00:00,UTC,13.3
2017,9,24,00:00,UTC,13
2017,9,25,00:00,UTC,12.6
2017,9,26,00:00,UTC,12.3
2017,9,27,00:00,UTC,12.3
2017,9,28,00:00,UTC,10.4
2017,9,29,00:00,UTC,9.3
2017,9,30,00:00,UTC,9.2
2017,10,1,00:00,UTC,9.5
2017,10,2,00:00,UTC,9.5
2017,10,3,00:00,UTC,8.6
2017,10,4,00:00,UTC,11.8
2017,10,5,00:00,UTC,9.1
2017,10,6,00:00,UTC,7.9
2017,10,7,00:00,UTC,8.4
2017,10,8,00:00,UTC,9.6
2017,10,9,00:00,UTC,8.7
2017,10,10,00:00,UTC,8.2
2017,10,11,00:00,UTC,7.1
2017,10,12,00:00,UTC,6.3
2017,10,13,00:00,UTC,7.6
2017,10,14,00:00,UTC,7.5
2017,10,15,00:00,UTC,8.6
2017,10,16,00:00,UTC,11.3
2017,10,17,00:00,UTC,9.3
2017,10,18,00:00,UTC,8.8
2017,10,19,00:00,UTC,5.2
2017,10,20,00:00,UTC,2.3
2017,10,21,00:00,UTC,0.8
2017,10,22,00:00,UTC,0.4
2017,10,23,00:00,UTC,1.7
2017,10,24,00:00,UTC,1.6
2017,10,25,00:00,UTC,2.5
2017,10,26,00:00,UTC,0.7
2017,10,27,00:00,UTC,-0.1
2017,10,28,00:00,UTC,4.1
2017,10,29,00:00,UTC,2.3
2017,10,30,00:00,UTC,1.4
2017,10,31,00:00,UTC,0
2017,11,1,00:00,UTC,0.6
2017,11,2,00:00,UTC,1.2
2017,11,3,00:00,UTC,3.3
2017,11,4,00:00,UTC,8.2
2017,11,5,00:00,UTC,8.2
2017,11,6,00:00,UTC,7.5
2017,11,7,00:00,UTC,4.7
2017,11,8,00:00,UTC,6.1
2017,11,9,00:00,UTC,6.6
2017,11,10,00:00,UTC,7.4
2017,11,11,00:00,UTC,5.9
2017,11,12,00:00,UTC,3.1
2017,11,13,00:00,UTC,2.4
2017,11,14,00:00,UTC,2.1
2017,11,15,00:00,UTC,3.5
2017,11,16,00:00,UTC,3.9
2017,11,17,00:00,UTC,6.1
2017,11,18,00:00,UTC,6.3
2017,11,19,00:00,UTC,3.9
2017,11,20,00:00,UTC,1
2017,11,21,00:00,UTC,0.7
2017,11,22,00:00,UTC,0.9
2017,11,23,00:00,UTC,1.6
2017,11,24,00:00,UTC,6
2017,11,25,00:00,UTC,4.4
2017,11,26,00:00,UTC,2.4
2017,11,27,00:00,UTC,4.6
2017,11,28,00:00,UTC,3.9
2017,11,29,00:00,UTC,2.8
2017,11,30,00:00,UTC,2.9
2017,12,1,00:00,UTC,0.8
2017,12,2,00:00,UTC,1.9
2017,12,3,00:00,UTC,5.1
2017,12,4,00:00,UTC,1.1
2017,12,5,00:00,UTC,0.1
2017,12,6,00:00,UTC,-1.2
2017,12,7,00:00,UTC,-0.5
2017,12,8,00:00,UTC,5.2
2017,12,9,00:00,UTC,4.2
2017,12,10,00:00,UTC,2
2017,12,11,00:00,UTC,1.3
2017,12,12,00:00,UTC,1.6
2017,12,13,00:00,UTC,1.7
2017,12,14,00:00,UTC,1.6
2017,12,15,00:00,UTC,1.7
2017,12,16,00:00,UTC,2.5
2017,12,17,00:00,UTC,0
2017,12,18,00:00,UTC,2.5
2017,12,19,00:00,UTC,0.9
2017,12,20,00:00,UTC,2.7
2017,12,21,00:00,UTC,2.3
2017,12,22,00:00,UTC,0.2
2017,12,23,00:00,UTC,1.5
2017,12,24,00:00,UTC,-0.1
2017,12,25,00:00,UTC,0.6
2017,12,26,00:00,UTC,1.8
2017,12,27,00:00,UTC,4
2017,12,28,00:00,UTC,2.7
2017,12,29,00:00,UTC,3.8
2017,12,30,00:00,UTC,2.7
2017,12,31,00:00,UTC,1.7
